猫がソファの上で気持ちよさそうに眠っている。	easy
今日の朝ごはんはパンとコーヒーだった。	easy
駅の近くに新しいパン屋がオープンした。	easy
彼女は毎日一時間ジョギングをしている。	easy
週末に友達と映画を見に行く予定だ。	easy
地球温暖化の影響で、世界各地で異常気象が増加している。	medium
経済のグローバル化が進む中、国内産業の競争力強化が求められている。	medium
科学技術の進歩により、かつては不可能だった医療が実現しつつある。	medium
環境保護と経済発展を両立させることが現代社会の大きな課題となっている。	medium
少子高齢化が進む日本では、社会保障制度の持続可能性が問われている。	medium
経済格差の拡大が社会的分断を招きかねないという懸念が、国際社会の間で広がっている。	hard
持続可能な発展を実現するためには、短期的な利益よりも長期的な視野に立った政策が求められる。	hard
人工知能の急速な発展は、労働市場に根本的な変革をもたらすと同時に、倫理的問題を提起している。	hard
国際秩序の変容に伴い、これまでの外交的枠組みを根本から見直す必要性が高まっている。	hard
複雑化する社会問題に対処するには、多様な専門知識を持つ人々の協働が不可欠となっている。	hard
